DESIGNATEDNAME,RIVER,AREAID,BOUNDARYSTATUS,CLASSIFICATION,OBJECTID,SHAPEAREA,SHAPELEN
"Eleven Point, Missouri National Wild and Scenic River","Eleven Point, Missouri",002,Final,Scenic,159172,0.0062943176116778,1.54253101437254
Elk National Wild and Scenic River,Elk,76,"Provisional, Subject to Change",Scenic,159173,0.0007717773713518,0.380423217868416
"Elk Creek, Oregon National Wild and Scenic River","Elk Creek, Oregon",223,"Provisional, Subject to Change",Scenic,159174,0.0010759240518887,0.259372482492297
"Elk, Oregon National Wild and Scenic River","Elk, Oregon",76,Final,Scenic,159175,0.0002788155513691,0.134525735480612
"Elkhorn Creek, Oregon National Wild and Scenic River","Elkhorn Creek, Oregon",159,"Provisional, Subject to Change",Scenic,159176,0.0001088897222003,0.0421826523188036
"Feather, California National Wild and Scenic River","Feather, California",003,Final,Scenic,159177,0.00150580145832725,0.383996149653189
"Fifteenmile Creek, Oregon National Wild and Scenic River","Fifteenmile Creek, Oregon",176,"Provisional, Subject to Change",Scenic,159178,0.00014973649861125,0.110721909255894
"Flathead, Montana National Wild and Scenic River","Flathead, Montana",013,Final,Scenic,159179,0.00364038850915315,1.47018341617061
"Fuller Mill Creek, California National Wild and Scenic River","Fuller Mill Creek, California",201,"Provisional, Subject to Change",Scenic,159180,0.00032813681468785,0.127864870280118
"Horsepasture, North Carolina National Wild and Scenic River","Horsepasture, North Carolina",056,"Provisional, Subject to Change",Scenic,159181,0.00047939027513725,0.131908068994665
"Hurricane Creek, Arkansas National Wild and Scenic River","Hurricane Creek, Arkansas",137,"Provisional, Subject to Change",Scenic,159182,0.00124853447619155,0.475665653352122
"Illinois, Oregon National Wild and Scenic River","Illinois, Oregon",054,Final,Scenic,159183,0.0025960019462395,0.674886265653716
"Imnaha, Oregon National Wild and Scenic River","Imnaha, Oregon",078,"Provisional, Subject to Change",Scenic,159184,0.00060200298308215,0.151491496979698
"Indian, Michigan National Wild and Scenic River","Indian, Michigan",122,Final,Scenic,159185,0.00129804547306645,0.429500186773828
"Jenny Creek, Oregon National Wild and Scenic River","Jenny Creek, Oregon",220,"Provisional, Subject to Change",Scenic,159186,0.0027086738437309,0.624485848209611
"Kern, California National Wild and Scenic River","Kern, California",064,"Provisional, Subject to Change",Scenic,159187,0.000673220634688,0.198637239048582
"Klamath, California National Wild and Scenic River","Klamath, California",SD9,Final,Scenic,159188,0.00251338637751205,1.04099395243571
"Little Missouri, Arkansas National Wild and Scenic River","Little Missouri, Arkansas",138,"Provisional, Subject to Change",Scenic,159189,0.00122519599379155,0.380253030226403
"Malheur, Oregon National Wild and Scenic River","Malheur, Oregon",083,Final,Scenic,159190,0.00036473841460655,0.1859009245192
"Merced, California National Wild and Scenic River","Merced, California",062,Final,Scenic,159191,0.0003616507943484,0.100071316884082
"Metolius, Oregon National Wild and Scenic River","Metolius, Oregon",085,Final,Scenic,159192,0.00154978252854,0.668833004728072
"Middle Fork Hood River, Oregon National Wild and Scenic River","Middle Fork Hood River, Oregon",173,"Provisional, Subject to Change",Scenic,159193,0.0005106307547459,0.123039970405336
"Middle Fork Salmon, Idaho National Wild and Scenic River","Middle Fork Salmon, Idaho",007,Final,Scenic,159194,0.0001899890840796,0.0747729938011687
"Middle Fork Snoqualmie, Washington National Wild and Scenic River","Middle Fork Snoqualmie, Washington",209,"Provisional, Subject to Change",Scenic,159195,0.0031027874804949,0.73697619917466
"Mulberry River, Arkansas National Wild and Scenic River","Mulberry River, Arkansas",139,"Provisional, Subject to Change",Scenic,159196,0.0008371207328016,0.573133531200188
"North Fork Crooked, Oregon National Wild and Scenic River","North Fork Crooked, Oregon",087,Final,Scenic,159197,0.00122296948488975,0.271322237502104
"North Fork John Day, Oregon National Wild and Scenic River","North Fork John Day, Oregon",088,"Provisional, Subject to Change",Scenic,159198,0.0012107319974687,0.413446513990261
"North Fork Malheur, Oregon National Wild and Scenic River","North Fork Malheur, Oregon",089,Final,Scenic,159199,0.00350909853011135,0.851059619601709
"North Fork Middle Fork Willamette, Oregon National Wild and Scenic River","North Fork Middle Fork Willamette, Oregon",090,Final,Scenic,159200,0.0007852113625624,0.236869165910296
"North Fork San Jacinto, California National Wild and Scenic River","North Fork San Jacinto, California",200,"Provisional, Subject to Change",Scenic,159201,0.0001783778034429,0.0854909382971627
"North Fork Smith, Oregon National Wild and Scenic River","North Fork Smith, Oregon",092,"Provisional, Subject to Change",Scenic,159202,0.00086103005799105,0.211212330237406
"North Fork Sprague, Oregon National Wild and Scenic River","North Fork Sprague, Oregon",093,"Provisional, Subject to Change",Scenic,159203,0.00149149964434945,0.590001156743433
"North Powder, Oregon National Wild and Scenic River","North Powder, Oregon",094,"Provisional, Subject to Change",Scenic,159204,0.00097900829598985,0.27001655925742
"North Sylamore Creek, Arkansas National Wild and Scenic River","North Sylamore Creek, Arkansas",140,"Provisional, Subject to Change",Scenic,159205,0.00147473043023225,0.401660784747741
"Ontonagon, Michigan National Wild and Scenic River","Ontonagon, Michigan",124,"Provisional, Subject to Change",Scenic,159206,0.00436971984273655,1.16125071772961
"Owens River Headwaters, California National Wild and Scenic River","Owens River Headwaters, California",197,"Provisional, Subject to Change",Scenic,159207,0.00080757241000685,0.253956901996953
"Pere Marquette, Michigan National Wild and Scenic River","Pere Marquette, Michigan",016,Final,Scenic,159208,0.0059405069929467,1.52710668203451
"Pine, Michigan National Wild and Scenic River","Pine, Michigan",126,Final,Scenic,159209,0.0024523303507896,0.629875202722949
"Presque Isle, Michigan National Wild and Scenic River","Presque Isle, Michigan",127,Final,Scenic,159210,0.00354224223370355,0.856028403745479
"Richland Creek, Arkansas National Wild and Scenic River","Richland Creek, Arkansas",141,"Provisional, Subject to Change",Scenic,159211,0.00100715318930055,0.463634972559296
"Rio Chama, New Mexico National Wild and Scenic River","Rio Chama, New Mexico",108,"Provisional, Subject to Change",Scenic,159212,0.0005880864792545,0.155534408711838
"Rio de la Mina, Puerto Rico National Wild and Scenic River","Rio de la Mina, Puerto Rico",166B,"Provisional, Subject to Change",Scenic,159213,0.0001102801695493,0.0440695031095407
"Rio Icacos, Puerto Rico National Wild and Scenic River","Rio Icacos, Puerto Rico",166C,"Provisional, Subject to Change",Scenic,159214,0.00024495024394105,0.0796384332606811
"Rio Mameyes, Puerto Rico National Wild and Scenic River","Rio Mameyes, Puerto Rico",166A,"Provisional, Subject to Change",Scenic,159215,0.00012792845492555,0.058203781915686
"Rogue, Oregon National Wild and Scenic River","Rogue, Oregon",005,"Provisional, Subject to Change",Scenic,159216,0.0012631835511753,0.34411383074738
"Saline Bayou, Louisiana National Wild and Scenic River","Saline Bayou, Louisiana",058,"Provisional, Subject to Change",Scenic,159217,0.00235332059411555,0.615790279875243
"Salmon, Oregon National Wild and Scenic River","Salmon, Oregon",099,Final,Scenic,159218,0.0008451213917775,0.211482247154701
"Sespe Creek, California National Wild and Scenic River","Sespe Creek, California",142,Final,Scenic,159219,0.0006094339171536,0.166206441909572
"Sipsey Fork West Fork, Alabama National Wild and Scenic River","Sipsey Fork West Fork, Alabama",066,"Provisional, Subject to Change",Scenic,159220,0.0016070135063899,0.93118225838149
"Skagit, Washington National Wild and Scenic River","Skagit, Washington",018,Final,Scenic,159221,0.0145032713179872,3.45057946865584
"Smith River, California National Wild and Scenic River","Smith River, California",111,Final,Scenic,159222,0.0047754518391949,1.31223581529034
"Snake River Headwaters, Wyoming National Wild and Scenic River","Snake River Headwaters, Wyoming",206,Final,Scenic,159223,0.0140641346169948,3.05532831003541
"Snake, Idaho and Oregon National Wild and Scenic River","Snake, Idaho and Oregon",010,"Provisional, Subject to Change",Scenic,159224,0.0044647088587341,1.56925174798963
"Snake, Idaho and Oregon National Wild and Scenic River","Snake, Idaho and Oregon",012,"Provisional, Subject to Change",Scenic,159225,0.00019318316719655,0.28948284429513
"Spring Creek, Oregon National Wild and Scenic River","Spring Creek, Oregon",221,"Provisional, Subject to Change",Scenic,159226,0.00023194766503805,0.0661409119715171
"St. Croix, Minnesota and Wisconsin National Wild and Scenic River","St. Croix, Minnesota and Wisconsin",NPS,Final,Scenic,159227,0.00041008548450215,0.1226746086656
"Sturgeon, Michigan (Hiawatha NF) National Wild and Scenic River","Sturgeon, Michigan (Hiawatha NF)",128,Final,Scenic,159228,0.0022860383905247,0.560847487917703
"Sturgeon, Michigan (Ottawa NF) National Wild and Scenic River","Sturgeon, Michigan (Ottawa NF)",129,"Provisional, Subject to Change",Scenic,159229,0.0007720892665725,0.209071015938352
"Sycan, Oregon National Wild and Scenic River","Sycan, Oregon",103,"Provisional, Subject to Change",Scenic,159230,0.00454883656363205,1.7972769411136
"Trinity, California National Wild and Scenic River","Trinity, California",SD11,Final,Scenic,159231,0.0039869327715319,1.0237463673496
"Tuolumne, California National Wild and Scenic River","Tuolumne, California",053,Final,Scenic,159232,0.0005107395129656,0.192905098238146
"Upper Rogue, Oregon National Wild and Scenic River","Upper Rogue, Oregon",104,"Provisional, Subject to Change",Scenic,159233,0.00443083505713645,0.998626996587278
"Verde, Arizona National Wild and Scenic River","Verde, Arizona",051,"Provisional, Subject to Change",Scenic,159234,0.00225537493520025,0.543760512134783
"Wenaha, Oregon National Wild and Scenic River","Wenaha, Oregon",105,"Provisional, Subject to Change",Scenic,159235,0.0004198613731018,0.139669477172881
"White Salmon, Washington National Wild and Scenic River","White Salmon, Washington",027,Final,Scenic,159236,0.00192486073734625,0.445422643769086
"White Salmon, Washington National Wild and Scenic River","White Salmon, Washington",061,Final,Scenic,159237,0.0009044093759564,0.332154934849801
"White, Oregon National Wild and Scenic River","White, Oregon",064,"Provisional, Subject to Change",Scenic,159238,0.0009664761690497,0.258802627700496
"Whitefish, Michigan National Wild and Scenic River","Whitefish, Michigan",131,Final,Scenic,159239,0.00442711137486525,1.19854138953199
"Whychus Creek, Oregon National Wild and Scenic River","Whychus Creek, Oregon",102,"Provisional, Subject to Change",Scenic,159240,0.0013954773199723,0.355373132439763
"Wildcat, New Hampshire National Wild and Scenic River","Wildcat, New Hampshire",067,Final,Scenic,159241,0.0006156343844026,0.47223805094797
"Wilson Creek, North Carolina National Wild and Scenic River","Wilson Creek, North Carolina",161,"Provisional, Subject to Change",Scenic,159242,0.00038281318091255,0.10715271644526
"Big Sur, California National Wild and Scenic River","Big Sur, California",144,Final,Wild,159243,0.00239898406836405,0.58595839866937
"Black Butte River, California National Wild and Scenic River","Black Butte River, California",168,Final,Wild,159244,0.0022334953331238,0.549017847751056
"Buffalo, Arkansas National Wild and Scenic River","Buffalo, Arkansas",135,"Provisional, Subject to Change",Wild,159245,0.0011591051331641,0.315191477266166
"Cache la Poudre, Colorado National Wild and Scenic River","Cache la Poudre, Colorado",057,Final,Wild,159246,0.0022108903893056,0.546684339460108
"Carp, Michigan National Wild and Scenic River","Carp, Michigan",121,Final,Wild,159247,0.0011906929504268,0.394797941888514
